votes	first	second	third
17	DON SAMUELS	MARK ANDREW	CAPTAIN JACK SPARROW
17	DAN COHEN	CAM WINTON	MARK V ANDERSON
17	CAM WINTON	MARK ANDREW	STEPHANIE WOODRUFF
17	CAM WINTON	DAN COHEN	NEAL BAXTER
17	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN	OLE SAVIOR
17	CAM WINTON	BETSY HODGES	OLE SAVIOR
17	BOB FINE	STEPHANIE WOODRUFF	BETSY HODGES
17	BOB FINE	JACKIE CHERRYHOMES	DON SAMUELS
17	BOB FINE	JACKIE CHERRYHOMES	CAM WINTON
17	BOB FINE	DON SAMUELS	STEPHANIE WOODRUFF
17	BOB FINE	CAM WINTON	STEPHANIE WOODRUFF
17	BILL KAHN	undervote	undervote
17	BETSY HODGES	MARK ANDREW	KURTIS W. HANNA
17	BETSY HODGES	CAM WINTON	UWI
17	BETSY HODGES	BOB FINE	MIKE GOULD
16	TONY LANE	BETSY HODGES	MARK ANDREW
16	STEPHANIE WOODRUFF	MARK ANDREW	DON SAMUELS
16	MARK V ANDERSON	DON SAMUELS	JACKIE CHERRYHOMES
16	JAMES EVERETT	BETSY HODGES	DON SAMUELS
16	JACKIE CHERRYHOMES	DON SAMUELS	MARK V ANDERSON
16	JACKIE CHERRYHOMES	DON SAMUELS	ALICIA K. BENNETT
16	DON SAMUELS	CAM WINTON	STEPHANIE WOODRUFF
16	DAN COHEN	JACKIE CHERRYHOMES	MARK ANDREW
16	DAN COHEN	DON SAMUELS	undervote
16	DAN COHEN	CAM WINTON	CHRISTOPHER CLARK
16	DAN COHEN	BETSY HODGES	undervote
16	CAM WINTON	STEPHANIE WOODRUFF	undervote
16	CAM WINTON	JACKIE CHERRYHOMES	BOB FINE
16	CAM WINTON	BETSY HODGES	MARK V ANDERSON
16	BOB FINE	MARK ANDREW	DAN COHEN
16	BETSY HODGES	UWI	UWI
16	BETSY HODGES	STEPHANIE WOODRUFF	CAPTAIN JACK SPARROW
16	BETSY HODGES	JAYMIE KELLY	MARK ANDREW
16	BETSY HODGES	BETSY HODGES	undervote
16	BETSY HODGES	ALICIA K. BENNETT	DON SAMUELS
15	STEPHANIE WOODRUFF	JACKIE CHERRYHOMES	BETSY HODGES
15	STEPHANIE WOODRUFF	CAM WINTON	DON SAMUELS
15	MARK ANDREW	JAMES EVERETT	DOUG MANN
15	MARK ANDREW	DON SAMUELS	GREGG A. IVERSON
15	MARK ANDREW	DON SAMUELS	ALICIA K. BENNETT
15	MARK ANDREW	ALICIA K. BENNETT	JACKIE CHERRYHOMES
15	JOHN LESLIE HARTWIG	undervote	undervote
15	JAYMIE KELLY	DOUG MANN	BETSY HODGES
15	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	MARK ANDREW
15	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	DON SAMUELS
15	DON SAMUELS	MARK ANDREW	JAMES EVERETT
15	DAN COHEN	CAM WINTON	MARK ANDREW
15	DAN COHEN	BETSY HODGES	BOB FINE
15	CAM WINTON	OLE SAVIOR	RAHN V. WORKCUFF
15	CAM WINTON	OLE SAVIOR	CAPTAIN JACK SPARROW
15	CAM WINTON	OLE SAVIOR	BOB FINE
15	CAM WINTON	CAPTAIN JACK SPARROW	OLE SAVIOR
15	BETSY HODGES	UWI	undervote
15	BETSY HODGES	JAYMIE KELLY	DON SAMUELS
15	BETSY HODGES	DOUG MANN	TROY BENJEGERDES
15	BETSY HODGES	DON SAMUELS	EDMUND BERNARD BRUYERE
15	BETSY HODGES	DAN COHEN	STEPHANIE WOODRUFF
15	BETSY HODGES	BETSY HODGES	MARK ANDREW
14	STEPHANIE WOODRUFF	JACKIE CHERRYHOMES	DON SAMUELS
14	STEPHANIE WOODRUFF	DON SAMUELS	CAM WINTON
14	OLE SAVIOR	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN
14	MARK V ANDERSON	BETSY HODGES	CAM WINTON
14	MARK ANDREW	STEPHANIE WOODRUFF	CAM WINTON
14	MARK ANDREW	MIKE GOULD	BETSY HODGES
14	MARK ANDREW	JEFFREY ALAN WAGNER	MIKE GOULD
14	JOSHUA REA	undervote	undervote
14	JAMES EVERETT	BETSY HODGES	MARK ANDREW
14	JACKIE CHERRYHOMES	MARK V ANDERSON	MARK ANDREW
14	JACKIE CHERRYHOMES	MARK V ANDERSON	BETSY HODGES
14	DON SAMUELS	MARK ANDREW	MIKE GOULD
14	DON SAMUELS	MARK ANDREW	DOUG MANN
14	DON SAMUELS	JACKIE CHERRYHOMES	MARK V ANDERSON
14	DON SAMUELS	BOB FINE	DAN COHEN
14	DON SAMUELS	BETSY HODGES	"ABDUL M RAHAMAN ""THE ROCK"""
14	DAN COHEN	JACKIE CHERRYHOMES	DON SAMUELS
14	DAN COHEN	JACKIE CHERRYHOMES	BETSY HODGES
14	DAN COHEN	DON SAMUELS	MARK ANDREW
14	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	CAM WINTON
14	CAM WINTON	OLE SAVIOR	BETSY HODGES
14	CAM WINTON	CHRISTOPHER CLARK	DAN COHEN
14	CAM WINTON	BOB FINE	CHRISTOPHER ROBIN ZIMMERMAN
14	BETSY HODGES	TROY BENJEGERDES	DON SAMUELS
14	BETSY HODGES	MARK V ANDERSON	STEPHANIE WOODRUFF
14	BETSY HODGES	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER
14	BETSY HODGES	DOUG MANN	KURTIS W. HANNA
14	BETSY HODGES	DOUG MANN	CAM WINTON
14	BETSY HODGES	DON SAMUELS	MIKE GOULD
14	BETSY HODGES	DON SAMUELS	JOHN CHARLES WILSON
14	ALICIA K. BENNETT	MIKE GOULD	STEPHANIE WOODRUFF
13	overvote	overvote	overvote
13	STEPHANIE WOODRUFF	JACKIE CHERRYHOMES	MARK ANDREW
13	STEPHANIE WOODRUFF	DON SAMUELS	JACKIE CHERRYHOMES
13	STEPHANIE WOODRUFF	BETSY HODGES	ALICIA K. BENNETT
13	OLE SAVIOR	CAM WINTON	undervote
13	NEAL BAXTER	undervote	undervote
13	MARK ANDREW	STEPHANIE WOODRUFF	DAN COHEN
13	MARK ANDREW	MIKE GOULD	undervote
13	MARK ANDREW	MIKE GOULD	STEPHANIE WOODRUFF
13	MARK ANDREW	MIKE GOULD	BOB FINE
13	MARK ANDREW	DOUG MANN	JACKIE CHERRYHOMES
13	MARK ANDREW	DAN COHEN	CAPTAIN JACK SPARROW
13	MARK ANDREW	BOB FINE	MIKE GOULD
13	MARK ANDREW	BOB FINE	JEFFREY ALAN WAGNER
13	JACKIE CHERRYHOMES	CAM WINTON	DAN COHEN
13	DOUG MANN	BETSY HODGES	BOB FINE
13	DON SAMUELS	JACKIE CHERRYHOMES	GREGG A. IVERSON
13	DON SAMUELS	DOUG MANN	BETSY HODGES
13	DON SAMUELS	DAN COHEN	BOB FINE
13	DON SAMUELS	BETSY HODGES	UWI
13	DON SAMUELS	BETSY HODGES	JOSHUA REA
13	DAN COHEN	MARK ANDREW	JACKIE CHERRYHOMES
13	DAN COHEN	MARK ANDREW	BOB FINE
13	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK	OLE SAVIOR
13	CAM WINTON	MARK V ANDERSON	BOB FINE
13	CAM WINTON	MARK ANDREW	CAPTAIN JACK SPARROW
13	CAM WINTON	DON SAMUELS	NEAL BAXTER
13	CAM WINTON	DON SAMUELS	CHRISTOPHER ROBIN ZIMMERMAN
13	CAM WINTON	DAN COHEN	JOHN LESLIE HARTWIG
13	CAM WINTON	CHRISTOPHER CLARK	KURTIS W. HANNA
13	BOB FINE	DAN COHEN	BETSY HODGES
13	BETSY HODGES	MARK ANDREW	"BOB ""AGAIN"" CARNEY JR"
13	BETSY HODGES	DOUG MANN	CAPTAIN JACK SPARROW
13	BETSY HODGES	DAN COHEN	CAPTAIN JACK SPARROW
13	BETSY HODGES	CAPTAIN JACK SPARROW	MARK ANDREW
13	BETSY HODGES	CAM WINTON	DOUG MANN
13	BETSY HODGES	BOB FINE	ALICIA K. BENNETT
12	STEPHANIE WOODRUFF	BOB FINE	DON SAMUELS
12	STEPHANIE WOODRUFF	ALICIA K. BENNETT	BETSY HODGES
12	MARK V ANDERSON	BETSY HODGES	MARK ANDREW
12	MARK ANDREW	STEPHANIE WOODRUFF	MIKE GOULD
12	MARK ANDREW	MIKE GOULD	DON SAMUELS
12	MARK ANDREW	JAMES EVERETT	undervote
12	MARK ANDREW	DON SAMUELS	JEFFREY ALAN WAGNER
12	MARK ANDREW	BOB FINE	CAPTAIN JACK SPARROW
12	MARK ANDREW	BETSY HODGES	"ABDUL M RAHAMAN ""THE ROCK"""
12	JACKIE CHERRYHOMES	CAM WINTON	undervote
12	JACKIE CHERRYHOMES	CAM WINTON	BOB FINE
12	DOUG MANN	DON SAMUELS	BETSY HODGES
12	DOUG MANN	BETSY HODGES	DAN COHEN
12	DON SAMUELS	MARK V ANDERSON	BOB FINE
12	DON SAMUELS	DON SAMUELS	undervote
12	DON SAMUELS	CAM WINTON	OLE SAVIOR
12	DON SAMUELS	BOB FINE	CAPTAIN JACK SPARROW
12	DON SAMUELS	BETSY HODGES	OLE SAVIOR
12	DAN COHEN	DON SAMUELS	CAPTAIN JACK SPARROW
12	DAN COHEN	CAM WINTON	NEAL BAXTER
12	CHRISTOPHER ROBIN ZIMMERMAN	CAM WINTON	CHRISTOPHER CLARK
12	CAM WINTON	STEPHANIE WOODRUFF	JACKIE CHERRYHOMES
12	CAM WINTON	NEAL BAXTER	undervote
12	CAM WINTON	MARK V ANDERSON	CAPTAIN JACK SPARROW
12	CAM WINTON	JOHN LESLIE HARTWIG	NEAL BAXTER
12	BOB FINE	DON SAMUELS	DAN COHEN
12	BOB FINE	DAN COHEN	MARK ANDREW
12	BETSY HODGES	MARK ANDREW	BETSY HODGES
12	BETSY HODGES	JEFFREY ALAN WAGNER	MARK ANDREW
12	BETSY HODGES	JACKIE CHERRYHOMES	GREGG A. IVERSON
12	ALICIA K. BENNETT	STEPHANIE WOODRUFF	BETSY HODGES
11	undervote	BETSY HODGES	undervote
11	STEPHANIE WOODRUFF	STEPHANIE WOODRUFF	STEPHANIE WOODRUFF
11	STEPHANIE WOODRUFF	MARK ANDREW	undervote
11	STEPHANIE WOODRUFF	CAM WINTON	MARK ANDREW
11	STEPHANIE WOODRUFF	BETSY HODGES	DAN COHEN
11	MARK V ANDERSON	DON SAMUELS	undervote
11	MARK ANDREW	JAMES EVERETT	BETSY HODGES
11	MARK ANDREW	JACKIE CHERRYHOMES	MARK ANDREW
11	MARK ANDREW	JACKIE CHERRYHOMES	GREGG A. IVERSON
11	MARK ANDREW	DON SAMUELS	MIKE GOULD
11	MARK ANDREW	DAN COHEN	MIKE GOULD
11	MARK ANDREW	BETSY HODGES	JAYMIE KELLY
11	MARK ANDREW	ALICIA K. BENNETT	DON SAMUELS
11	MARK ANDREW	ALICIA K. BENNETT	BOB FINE
11	JACKIE CHERRYHOMES	DON SAMUELS	STEPHANIE WOODRUFF
11	JACKIE CHERRYHOMES	BETSY HODGES	MARK V ANDERSON
11	JACKIE CHERRYHOMES	ALICIA K. BENNETT	STEPHANIE WOODRUFF
11	DOUG MANN	BETSY HODGES	STEPHANIE WOODRUFF
11	DON SAMUELS	JACKIE CHERRYHOMES	DOUG MANN
11	DON SAMUELS	BETSY HODGES	NEAL BAXTER
11	DAN COHEN	MARK ANDREW	CAM WINTON
11	DAN COHEN	BOB FINE	MARK ANDREW
11	CHRISTOPHER CLARK	KURTIS W. HANNA	CAM WINTON
11	CAM WINTON	OLE SAVIOR	MARK ANDREW
11	CAM WINTON	JOHN LESLIE HARTWIG	undervote
11	CAM WINTON	DON SAMUELS	MARK V ANDERSON
11	CAM WINTON	CHRISTOPHER CLARK	DON SAMUELS
11	CAM WINTON	CAPTAIN JACK SPARROW	KURTIS W. HANNA
11	BOB FINE	MARK ANDREW	DOUG MANN
11	BOB FINE	DAN COHEN	undervote
11	BOB FINE	DAN COHEN	DON SAMUELS
11	BOB FINE	BETSY HODGES	DAN COHEN
11	BOB FINE	BETSY HODGES	CAPTAIN JACK SPARROW
11	BETSY HODGES	TROY BENJEGERDES	DOUG MANN
11	BETSY HODGES	STEPHANIE WOODRUFF	JAMES EVERETT
11	BETSY HODGES	MARK ANDREW	MARK V ANDERSON
11	BETSY HODGES	DON SAMUELS	JOSHUA REA
11	BETSY HODGES	DON SAMUELS	JEFFREY ALAN WAGNER
11	BETSY HODGES	DON SAMUELS	DON SAMUELS
11	BETSY HODGES	DAN COHEN	DOUG MANN
11	BETSY HODGES	ALICIA K. BENNETT	MIKE GOULD
11	BETSY HODGES	ALICIA K. BENNETT	BOB FINE
10	TONY LANE	undervote	undervote
10	TONY LANE	BETSY HODGES	DON SAMUELS
10	STEPHANIE WOODRUFF	DON SAMUELS	BOB FINE
10	STEPHANIE WOODRUFF	CAM WINTON	BOB FINE
10	STEPHANIE WOODRUFF	BOB FINE	BETSY HODGES
10	STEPHANIE WOODRUFF	BETSY HODGES	DOUG MANN
10	OLE SAVIOR	CAM WINTON	DAN COHEN
10	MARK V ANDERSON	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN
10	MARK V ANDERSON	BETSY HODGES	CAPTAIN JACK SPARROW
10	MARK ANDREW	STEPHANIE WOODRUFF	ALICIA K. BENNETT
10	MARK ANDREW	JACKIE CHERRYHOMES	JAMES EVERETT
10	MARK ANDREW	DOUG MANN	BOB FINE
10	MARK ANDREW	DON SAMUELS	UWI
10	MARK ANDREW	CAPTAIN JACK SPARROW	BOB FINE
10	MARK ANDREW	CAM WINTON	OLE SAVIOR
10	JEFFREY ALAN WAGNER	MARK ANDREW	ALICIA K. BENNETT
10	JAYMIE KELLY	BETSY HODGES	DON SAMUELS
10	JAMES EVERETT	DOUG MANN	TONY LANE
10	JACKIE CHERRYHOMES	DON SAMUELS	GREGG A. IVERSON
10	DOUG MANN	STEPHANIE WOODRUFF	BETSY HODGES
10	DOUG MANN	BETSY HODGES	JACKIE CHERRYHOMES
10	DON SAMUELS	MARK V ANDERSON	MARK ANDREW
10	DON SAMUELS	JACKIE CHERRYHOMES	MERRILL ANDERSON
10	DON SAMUELS	JACKIE CHERRYHOMES	JAMES EVERETT
10	DON SAMUELS	BOB FINE	GREGG A. IVERSON
10	DON SAMUELS	BETSY HODGES	TONY LANE
10	DON SAMUELS	BETSY HODGES	MIKE GOULD
10	DAN COHEN	STEPHANIE WOODRUFF	BETSY HODGES
10	DAN COHEN	MARK V ANDERSON	CAM WINTON
10	DAN COHEN	MARK ANDREW	CAPTAIN JACK SPARROW
10	DAN COHEN	JACKIE CHERRYHOMES	undervote
10	DAN COHEN	CAM WINTON	DOUG MANN
10	DAN COHEN	BOB FINE	undervote
10	DAN COHEN	BOB FINE	DON SAMUELS
10	CAM WINTON	STEPHANIE WOODRUFF	CAPTAIN JACK SPARROW
10	CAM WINTON	MARK V ANDERSON	OLE SAVIOR
10	CAM WINTON	MARK V ANDERSON	BETSY HODGES
10	CAM WINTON	CHRISTOPHER CLARK	CAPTAIN JACK SPARROW
10	BOB FINE	STEPHANIE WOODRUFF	MARK ANDREW
10	BOB FINE	STEPHANIE WOODRUFF	DON SAMUELS
10	BETSY HODGES	TROY BENJEGERDES	undervote
10	BETSY HODGES	STEPHANIE WOODRUFF	MIKE GOULD
10	BETSY HODGES	STEPHANIE WOODRUFF	GREGG A. IVERSON
10	BETSY HODGES	MIKE GOULD	MARK ANDREW
10	BETSY HODGES	JAMES EVERETT	JAYMIE KELLY
10	BETSY HODGES	JAMES EVERETT	JACKIE CHERRYHOMES
10	BETSY HODGES	CAPTAIN JACK SPARROW	DON SAMUELS
10	BETSY HODGES	BOB FINE	TROY BENJEGERDES
10	BETSY HODGES	ALICIA K. BENNETT	undervote
10	BETSY HODGES	ALICIA K. BENNETT	CAPTAIN JACK SPARROW
10	BETSY HODGES	"ABDUL M RAHAMAN ""THE ROCK"""	MARK ANDREW
10	ALICIA K. BENNETT	BETSY HODGES	JACKIE CHERRYHOMES
10	"BOB ""AGAIN"" CARNEY JR"	undervote	undervote
9	TROY BENJEGERDES	DOUG MANN	BETSY HODGES
9	TONY LANE	DOUG MANN	JAYMIE KELLY
9	TONY LANE	DOUG MANN	JAMES EVERETT
9	STEPHANIE WOODRUFF	MARK ANDREW	JACKIE CHERRYHOMES
9	STEPHANIE WOODRUFF	DON SAMUELS	undervote
9	OLE SAVIOR	NEAL BAXTER	JOHN LESLIE HARTWIG
9	OLE SAVIOR	DAN COHEN	CAM WINTON
9	NEAL BAXTER	BETSY HODGES	DON SAMUELS
9	MARK V ANDERSON	CAM WINTON	undervote
9	MARK V ANDERSON	CAM WINTON	BETSY HODGES
9	MARK ANDREW	DON SAMUELS	NEAL BAXTER
9	MARK ANDREW	CAPTAIN JACK SPARROW	KURTIS W. HANNA
9	MARK ANDREW	BETSY HODGES	CHRISTOPHER CLARK
9	MARK ANDREW	BETSY HODGES	"BOB ""AGAIN"" CARNEY JR"
9	MARK ANDREW	"ABDUL M RAHAMAN ""THE ROCK"""	BETSY HODGES
9	KURTIS W. HANNA	BETSY HODGES	MARK ANDREW
9	JAYMIE KELLY	BETSY HODGES	DOUG MANN
9	JACKIE CHERRYHOMES	MARK ANDREW	UWI
9	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER	MARK ANDREW
9	JACKIE CHERRYHOMES	DON SAMUELS	JAMES EVERETT
9	JACKIE CHERRYHOMES	DAN COHEN	MARK ANDREW
9	JACKIE CHERRYHOMES	DAN COHEN	DON SAMUELS
9	JACKIE CHERRYHOMES	BOB FINE	undervote
9	DON SAMUELS	MARK ANDREW	GREGG A. IVERSON
9	DON SAMUELS	JAMES EVERETT	BETSY HODGES
9	DON SAMUELS	JACKIE CHERRYHOMES	OLE SAVIOR
9	DON SAMUELS	JACKIE CHERRYHOMES	CAPTAIN JACK SPARROW
9	DON SAMUELS	JACKIE CHERRYHOMES	"ABDUL M RAHAMAN ""THE ROCK"""
9	DON SAMUELS	DAN COHEN	CAPTAIN JACK SPARROW
9	DON SAMUELS	CAM WINTON	CAPTAIN JACK SPARROW
9	DON SAMUELS	BETSY HODGES	JEFFREY ALAN WAGNER
9	DON SAMUELS	ALICIA K. BENNETT	BETSY HODGES
9	DAN COHEN	BETSY HODGES	CAPTAIN JACK SPARROW
9	CHRISTOPHER CLARK	undervote	undervote
9	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	OLE SAVIOR
9	CAM WINTON	STEPHANIE WOODRUFF	CHRISTOPHER CLARK
9	CAM WINTON	MARK V ANDERSON	NEAL BAXTER
9	CAM WINTON	MARK V ANDERSON	MARK ANDREW
9	CAM WINTON	MARK V ANDERSON	JOHN LESLIE HARTWIG
9	CAM WINTON	MARK V ANDERSON	DON SAMUELS
9	CAM WINTON	MARK V ANDERSON	CHRISTOPHER ROBIN ZIMMERMAN
9	CAM WINTON	MARK ANDREW	OLE SAVIOR
9	CAM WINTON	JOHN LESLIE HARTWIG	OLE SAVIOR
9	CAM WINTON	DAN COHEN	RAHN V. WORKCUFF
9	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN	NEAL BAXTER
9	CAM WINTON	CHRISTOPHER ROBIN ZIMMERMAN	DAN COHEN
9	CAM WINTON	CHRISTOPHER CLARK	NEAL BAXTER
9	CAM WINTON	CAM WINTON	undervote
9	BETSY HODGES	STEPHANIE WOODRUFF	UWI
9	BETSY HODGES	MIKE GOULD	undervote
9	BETSY HODGES	MARK V ANDERSON	DAN COHEN
9	BETSY HODGES	MARK ANDREW	MERRILL ANDERSON
9	BETSY HODGES	MARK ANDREW	MARK ANDREW
9	BETSY HODGES	KURTIS W. HANNA	CAPTAIN JACK SPARROW
9	BETSY HODGES	JAYMIE KELLY	TONY LANE
9	BETSY HODGES	JAYMIE KELLY	STEPHANIE WOODRUFF
9	BETSY HODGES	JAYMIE KELLY	KURTIS W. HANNA
9	BETSY HODGES	JAYMIE KELLY	JAMES EVERETT
9	BETSY HODGES	JAMES EVERETT	TONY LANE
9	BETSY HODGES	JACKIE CHERRYHOMES	MERRILL ANDERSON
9	BETSY HODGES	JACKIE CHERRYHOMES	JAYMIE KELLY
9	BETSY HODGES	DON SAMUELS	BETSY HODGES
9	BETSY HODGES	CAPTAIN JACK SPARROW	KURTIS W. HANNA
9	BETSY HODGES	CAPTAIN JACK SPARROW	"ABDUL M RAHAMAN ""THE ROCK"""
9	BETSY HODGES	CAM WINTON	MARK V ANDERSON
9	BETSY HODGES	CAM WINTON	JAMES EVERETT
9	ALICIA K. BENNETT	BETSY HODGES	MARK ANDREW
8	UWI	BETSY HODGES	DON SAMUELS
8	TONY LANE	DOUG MANN	BETSY HODGES
8	STEPHANIE WOODRUFF	DAN COHEN	BETSY HODGES
8	OLE SAVIOR	CAM WINTON	NEAL BAXTER
8	MIKE GOULD	MIKE GOULD	MIKE GOULD
8	MARK V ANDERSON	JACKIE CHERRYHOMES	DAN COHEN
8	MARK V ANDERSON	DAN COHEN	BETSY HODGES
8	MARK V ANDERSON	CAM WINTON	DAN COHEN
8	MARK V ANDERSON	BOB FINE	DON SAMUELS
8	MARK ANDREW	UWI	undervote
8	MARK ANDREW	STEPHANIE WOODRUFF	GREGG A. IVERSON
8	MARK ANDREW	MARK V ANDERSON	BOB FINE
8	MARK ANDREW	CAPTAIN JACK SPARROW	BETSY HODGES
8	MARK ANDREW	CAPTAIN JACK SPARROW	"ABDUL M RAHAMAN ""THE ROCK"""
8	MARK ANDREW	BETSY HODGES	BILL KAHN
8	MARK ANDREW	ALICIA K. BENNETT	undervote
8	MARK ANDREW	ALICIA K. BENNETT	JEFFREY ALAN WAGNER
8	JAMES EVERETT	JAMES EVERETT	JAMES EVERETT
8	JAMES EVERETT	BETSY HODGES	undervote
8	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	BOB FINE
8	JACKIE CHERRYHOMES	MARK ANDREW	JEFFREY ALAN WAGNER
8	JACKIE CHERRYHOMES	MARK ANDREW	GREGG A. IVERSON
8	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER	ALICIA K. BENNETT
8	JACKIE CHERRYHOMES	DON SAMUELS	CAPTAIN JACK SPARROW
8	JACKIE CHERRYHOMES	DAN COHEN	BETSY HODGES
8	JACKIE CHERRYHOMES	BOB FINE	CAM WINTON
8	JACKIE CHERRYHOMES	BETSY HODGES	GREGG A. IVERSON
8	DOUG MANN	TROY BENJEGERDES	BETSY HODGES
8	DON SAMUELS	MARK ANDREW	NEAL BAXTER
8	DON SAMUELS	JAMES EVERETT	undervote
8	DON SAMUELS	BETSY HODGES	TROY BENJEGERDES
8	DON SAMUELS	BETSY HODGES	KURTIS W. HANNA
8	DAN COHEN	BETSY HODGES	STEPHANIE WOODRUFF
8	CHRISTOPHER ROBIN ZIMMERMAN	undervote	undervote
8	CAPTAIN JACK SPARROW	BETSY HODGES	DON SAMUELS
8	CAM WINTON	UWI	undervote
8	CAM WINTON	DON SAMUELS	CHRISTOPHER CLARK
8	CAM WINTON	DAN COHEN	MERRILL ANDERSON
8	CAM WINTON	DAN COHEN	KURTIS W. HANNA
8	CAM WINTON	BOB FINE	CHRISTOPHER CLARK
8	CAM WINTON	BETSY HODGES	DOUG MANN
8	BOB FINE	JACKIE CHERRYHOMES	undervote
8	BOB FINE	CAM WINTON	JACKIE CHERRYHOMES
8	BOB FINE	BETSY HODGES	MARK V ANDERSON
8	BETSY HODGES	undervote	MARK ANDREW
8	BETSY HODGES	TONY LANE	MARK ANDREW
8	BETSY HODGES	TONY LANE	JAMES EVERETT
8	BETSY HODGES	STEPHANIE WOODRUFF	MARK V ANDERSON
8	BETSY HODGES	STEPHANIE WOODRUFF	JAYMIE KELLY
8	BETSY HODGES	NEAL BAXTER	DON SAMUELS
8	BETSY HODGES	MIKE GOULD	ALICIA K. BENNETT
8	BETSY HODGES	MARK ANDREW	OLE SAVIOR
8	BETSY HODGES	MARK ANDREW	CHRISTOPHER ROBIN ZIMMERMAN
8	BETSY HODGES	JAMES EVERETT	STEPHANIE WOODRUFF
8	BETSY HODGES	JAMES EVERETT	CAPTAIN JACK SPARROW
8	BETSY HODGES	JACKIE CHERRYHOMES	MIKE GOULD
8	BETSY HODGES	DOUG MANN	UWI
8	BETSY HODGES	DOUG MANN	NEAL BAXTER
8	BETSY HODGES	DOUG MANN	DAN COHEN
8	BETSY HODGES	DON SAMUELS	BILL KAHN
8	BETSY HODGES	CAPTAIN JACK SPARROW	DOUG MANN
8	BETSY HODGES	CAM WINTON	ALICIA K. BENNETT
8	BETSY HODGES	BOB FINE	UWI
8	BETSY HODGES	BOB FINE	TONY LANE
8	ALICIA K. BENNETT	STEPHANIE WOODRUFF	JACKIE CHERRYHOMES
8	ALICIA K. BENNETT	BETSY HODGES	STEPHANIE WOODRUFF
8	ALICIA K. BENNETT	ALICIA K. BENNETT	ALICIA K. BENNETT
8	"ABDUL M RAHAMAN ""THE ROCK"""	MARK ANDREW	undervote
7	undervote	"ABDUL M RAHAMAN ""THE ROCK"""	undervote
7	TROY BENJEGERDES	BETSY HODGES	MARK ANDREW
7	STEPHANIE WOODRUFF	MARK ANDREW	CAM WINTON
7	STEPHANIE WOODRUFF	CAM WINTON	DAN COHEN
7	STEPHANIE WOODRUFF	BETSY HODGES	CAPTAIN JACK SPARROW
7	OLE SAVIOR	DAN COHEN	undervote
7	MARK V ANDERSON	MARK ANDREW	BETSY HODGES
7	MARK V ANDERSON	JACKIE CHERRYHOMES	BOB FINE
7	MARK V ANDERSON	DAN COHEN	undervote
7	MARK V ANDERSON	DAN COHEN	CAM WINTON
7	MARK V ANDERSON	BETSY HODGES	DAN COHEN
7	MARK ANDREW	undervote	BETSY HODGES
7	MARK ANDREW	NEAL BAXTER	undervote
7	MARK ANDREW	JEFFREY ALAN WAGNER	JACKIE CHERRYHOMES
7	MARK ANDREW	JEFFREY ALAN WAGNER	BETSY HODGES
7	MARK ANDREW	JAYMIE KELLY	undervote
7	MARK ANDREW	JACKIE CHERRYHOMES	TONY LANE
7	MARK ANDREW	DOUG MANN	TONY LANE
7	MARK ANDREW	DON SAMUELS	TONY LANE
7	MARK ANDREW	DON SAMUELS	"BOB ""AGAIN"" CARNEY JR"
7	MARK ANDREW	DAN COHEN	GREGG A. IVERSON
7	MARK ANDREW	BOB FINE	MARK V ANDERSON
7	MARK ANDREW	BETSY HODGES	MARK ANDREW
7	MARK ANDREW	BETSY HODGES	JOSHUA REA
7	KURTIS W. HANNA	BETSY HODGES	undervote
7	KURTIS W. HANNA	BETSY HODGES	DON SAMUELS
7	JEFFREY ALAN WAGNER	MARK ANDREW	MIKE GOULD
7	JAYMIE KELLY	undervote	undervote
7	JAYMIE KELLY	BETSY HODGES	MARK ANDREW
7	JAMES EVERETT	MARK ANDREW	BETSY HODGES
7	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	undervote
7	JACKIE CHERRYHOMES	DON SAMUELS	JEFFREY ALAN WAGNER
7	JACKIE CHERRYHOMES	DAN COHEN	CAM WINTON
7	JACKIE CHERRYHOMES	BETSY HODGES	JAMES EVERETT
7	JACKIE CHERRYHOMES	BETSY HODGES	DOUG MANN
7	JACKIE CHERRYHOMES	ALICIA K. BENNETT	MARK ANDREW
7	JACKIE CHERRYHOMES	ALICIA K. BENNETT	BETSY HODGES
7	EDMUND BERNARD BRUYERE	undervote	undervote
7	DOUG MANN	TONY LANE	BETSY HODGES
7	DOUG MANN	DAN COHEN	BETSY HODGES
7	DOUG MANN	BETSY HODGES	TROY BENJEGERDES
7	DON SAMUELS	UWI	UWI
7	DON SAMUELS	STEPHANIE WOODRUFF	DAN COHEN
